id,hindi,scrambled,hinglish,english,difficulty
121,विज्ञान,ज्ञानवि,Vigyan,Science,medium
122,गणित,तिणग,Ganit,Mathematics,hard
123,भौतिकी,तिकभौ,Bhautiki,Physics,hard
124,रसायन,यनरसा,Rasayan,Chemistry,hard
125,जीव विज्ञान,ज्ञानविजीव,Jeev Vigyan,Biology,hard
126,खगोल,गोलखा,Khagol,Astronomy,hard
127,कंप्यूटर विज्ञान,ज्ञानविकंप्यूटर,Computer Vigyan,Computer Science,hard
128,इंजीनियरिंग,रिंगइंजीनी,Engineering,Engineering,hard
129,चिकित्सा विज्ञान,ज्ञानविचिकित्सा,Medical Science,Medical Science,hard
130,पर्यावरण,वरणपर्या,Paryavaran,Environment,medium
131,पानी,नीपा,Paani,Water,easy
132,रोटी,तीरो,Roti,Bread,easy
133,चाय,याच,Chai,Tea,easy
134,दूध,धदू,Doodh,Milk,easy
135,फल,लफ,Phal,Fruit,easy
136,सब्जी,जीसब,Sabzi,Vegetable,easy
137,मिठाई,ईमिठा,Mithai,Sweet,easy
138,नमक,कमन,Namak,Salt,easy
139,मिर्च,र्चमि,Mirch,Chili,easy
140,चीनी,नीची,Cheeni,Sugar,easy
141,पेड़,ड़पे,Ped,Tree,easy
142,फूल,लूफ,Phool,Flower,easy
143,पत्ता,त्तापा,Patta,Leaf,easy
144,पत्थर,थरपत,Patthar,Stone,easy
145,पहाड़,ड़हपा,Pahaad,Mountain,easy
146,नदी,दीन,Nadi,River,easy
147,समुद्र,द्रसमु,Samundar,Sea,easy
148,आसमान,नमाआसा,Aasman,Sky,easy
149,सूरज,जसूर,Sooraj,Sun,easy
150,चाँद,दँाच,Chaand,Moon,easy
151,कुर्सी,सीकुर,Kursi,Chair,easy
152,मेज,जमे,Mez,Table,easy
153,बिस्तर,तरबिस,Bistar,Bed,easy
154,तकिया,याकित,Takiya,Pillow,easy
155,कंबल,बलकं,Kambal,Blanket,easy
156,दरवाजा,जावारद,Darwaaza,Door,easy
157,खिड़की,ड़कीखि,Khidki,Window,easy
158,छत,तछ,Chhat,Roof,easy
159,दीवार,वारदी,Deewar,Wall,easy
160,सोफा,फासो,Sofa,Sofa,easy
161,नमस्ते,तेमनस,Namaste,Hello,easy
162,अलविदा,वदाअली,Alvida,Goodbye,easy
163,धन्यवाद,दवाधन्य,Dhanyavaad,Thank you,easy
164,माफ़ करें,रेंकफ़ामा,Maaf Karein,Excuse me,easy
165,शुभ प्रभात,भातप्रशुब,Shubh Prabhat,Good morning,easy
166,माता,तामा,Mata,Mother,easy
167,पिता,तापि,Pita,Father,easy
168,भाई,ईभा,Bhai,Brother,easy
169,बहन,नहब,Behen,Sister,easy
170,दादा,दाद,Dada,Grandfather,easy
171,रंग,गरं,Rang,Color,easy
172,लाल,लाल,Laal,Red,easy
173,नीला,लानी,Neela,Blue,easy
174,हरा,राह,Hara,Green,easy
175,पीला,लापी,Peela,Yellow,easy
176,काला,लाका,Kaala,Black,easy
177,सफेद,दफेस,Safed,White,easy
178,चलना,नाचल,Chalna,Walking,easy
179,बोलना,नाबोल,Bolna,Speaking,easy
180,खाना,नाखा,Khaana,Eating,easy
181,पीना,नापी,Peena,Drinking,easy
182,सोना,नासो,Sona,Sleeping,easy
183,पढ़ना,नापढ़,Padhna,Reading,easy
184,लिखना,नालिख,Likhna,Writing,easy
185,खेलना,नाखेल,Khelna,Playing,easy
186,हँसना,नाहँस,Hansna,Laughing,easy
187,रोना,नारो,Rona,Crying,easy
188,गाना,नागा,Gaana,Singing,easy
189,नाचना,नाचना,Naachna,Dancing,easy
190,सुनना,नासुन,Sunna,Listening,easy
191,पेन,नपे,Pen,Pen,easy
192,किताब,ताबकि,Kitaab,Book,easy
193,कागज,गजका,Kaagaz,Paper,easy
194,बैग,गबै,Bag,Bag,easy
195,जूता,ताजू,Joota,Shoe,easy
196,मोजा,जामो,Moza,Sock,easy
197,टोपी,पीटो,Topi,Cap,easy
198,कमीज,जीकम,Kameez,Shirt,easy
199,पैंट,टैंप,Pant,Pants,easy
200,जैकेट,टजैके,Jacket,Jacket,easy
201,घड़ी,ड़ीघ,Ghadi,Watch,easy
202,चश्मा,माचश,Chashma,Glasses,easy
203,मोबाइल,बाइलमो,Mobile,Mobile,easy
204,चाबी,बीचा,Chaabi,Key,easy
205,पर्स,सपर,Purse,Purse,easy
206,बटुआ,आबटु,Batuaa,Wallet,easy
207,रुपया,यापरु,Rupaya,Rupee,easy
208,सिक्का,क्कासि,Sikka,Coin,easy
209,डायरी,रीडाय,Diary,Diary,easy
210,कैलेंडर,डरकैलें,Calendar,Calendar,easy
